ID,Recommendation,Comment,Game Series
PS0030,Not Recommended,"[R] [R] [R] look [R] [R] game [R] [R] break , please buy [R] game . [R] [R] obvious [R] whoever [R] behind [R] creation [R] [R] game [R] [R] sort [R] cognitive impairment . [R] franchise [R] exist [R] atleast 25 years , [R] [R] still [R] not make [R] bugfree . Crashes , errors , long loading screens [R] lags [R] [R] [R] [R] would expect [R] [R] game [R] [R] pay 100 euros [R] . Perfect [R] [R] [R] [R] miss [R] [R] [R] pain [R] getting belt [R] [R] father . Shameless company .",Apex Legends
PS0031,Not Recommended,game anjinggg stick terusss ! !,Apex Legends
PS0032,Not Recommended,game kntl,Apex Legends
PS0033,Recommended,1,Apex Legends
PS0034,Recommended,El mismo FIFA de todos los aos .,Apex Legends
PS0035,Recommended,[R] game [R] ass,Apex Legends
PS0036,Recommended,.,Apex Legends
PS0037,Not Recommended,"Hi guys , [R] [R] buy [R] ultimate fc25 version few days ago , nut [R] [R] not receive [R] redeem code , ! ! ! ? ? ? ?",Apex Legends
PS0038,Not Recommended,ehhhhhh [R] meaaannn ...,Apex Legends
PS0039,Not Recommended,[R] buy FIFA 20 [R] 25 . [R] far [R] [R] [R] most disgusting gameplay [R] [R] ever see . [R] kinds [R] wierd things [R] [R] see [R] [R] single match . Please [R] not buy [R] even [R] [R] [R] 1 dollar .,Apex Legends
PS0040,Not Recommended,"Got ithis game [R] [R] small price [R] 8.4 , [R] [R] bundle wth [R] previous game , [R] [R] already own [R] [R] . [R] game [R] definitely worth [R] [R] [R] price , however , not [R] [R] full price [R] 70 , probably not even [R] current sale price [R] 28 .",Apex Legends
PS0041,Not Recommended,"Waaaaaayyyy [R] [R] laggs . Terribly optimize [R] PC . Unfortunately [R] [R] refund [R] game , [R] [R] unplayable .",Apex Legends
PS0042,Not Recommended,bad edition ever,Apex Legends
PS0043,Not Recommended,[R] HATE [R] GAME,Apex Legends
PS0044,Not Recommended,"[R] buy [R] game [R] sale 50 [R] play [R] favorite club [R] 20242025 squads [R] Career Mode . [R] [R] also try Ultimate Team [R] [R] bit , [R] [R] [R] [R] [R] [R] old games . [R] [R] past , [R] [R] play FIFA ' 13 [R] ' 16 [R] FIFA ' 18 [R] ' 23.This [R] [R] far , [R] bad EA FIFA game [R] [R] ever play . First [R] [R] [R] create [R] Career Mode save [R] [R] half [R] season , [R] game continue [R] crash constantly 100 crashrate [R] [R] try [R] open [R] save game . [R] try various suggestions [R] solve [R] issue [R] , [R] [R] help . Multiple people complain [R] [R] EA forums already , EA [R] [R] [R] more [R] publish [R] still nonworking patch . Thus [R] beloved save game [R] lose [R] [R] [R] start anew due [R] [R] game [R] fundamentally bug [R] break . [R] note [R] [R] career mode [R] [R] [R] work [R] layout [R] [R] whole menu [R] absolutly terrible . [R] [R] [R] look [R] [R] transfer budget every time [R] [R] extra menu [R] go [R] [R] kind [R] negotiation . [R] [R] multiple clicks requiered [R] even see [R] team [R] transfers [R] [R] [R] key element . [R] [R] not change [R] position [R] [R] formation e.g . push [R] CM [R] bit forward , make space [R] [R] CAM [R] [R] 433 [R] [R] [R] not change [R] players positon , [R] least without wait 23 years [R] game time e.g . make [R] CM [R] [R] CDM . [R] [R] not adjust [R] monthly budget [R] [R] transferbudget [R] vice versa . [R] [R] not continue [R] career [R] [R] stupid board goals e.g . [R] 2 . Bundesliga team , buy two players [R] North America , otherwise get fire , even [R] win every game ? ? ? . [R] [R] not even see [R] calender without min . 34 menu clicks . Summed [R] [R] Career Mode feel incredibly clunky , outdated [R] cheaply make . Packing [R] Hiding essential information behind [R] horrible menu [R] [R] [R] no control [R] [R] own team [R] terms [R] positioning [R] longterm goals . Worst career mode ever play . Gameplay FUT Gameplay work kind [R] [R] , depend always [R] [R] [R] [R] [R] [R] physics [R] not . [R] [R] [R] pretty average player skillwise , thus [R] [R] not really push [R] game [R] [R] tricky physics [R] [R] work [R] . [R] 100 games , [R] [R] not encounter massive physics bugs exclude minor flaws [R] [R] [R] every FIFA game . FUT work [R] , [R] [R] become [R] horrific capitalist money - focused [R] [R] disgust [R] [R] see [R] [R] [R] push [R] buy new cards . Personal opinion [R] FUT , [R] no real rating [R] [R] . [R] [R] [R] [R] not buy [R] game , [R] [R] rip [R] , [R] fundamentally [R] not work [R] come [R] very cheaply make .",Apex Legends
PS0045,Recommended,"[R] enjoy [R] game [R] [R] not recommend [R] [R] others [R] [R] , stay away , trust [R] .",Apex Legends
PS0046,Not Recommended,ass,Apex Legends
PS0047,Not Recommended,DONT BUY [R] GAMEDONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME DONT BUY [R] GAME rating 10100,Apex Legends
PS0048,Not Recommended,[R] [R] bad game [R] allways,Apex Legends
PS0049,Not Recommended,"Full [R] crashes [R] errors , [R] [R] stomps [R] bugs [R] u must restart [R] game inorder [R] [R] able [R] play [R] . HIGHLY NOT RECOMMENDED",Apex Legends
PS0050,Not Recommended,Product refund Awful . Football games [R] dead,Apex Legends
PS0051,Not Recommended,15 hours [R] [R] [R] already [R] 2 controllers,Apex Legends
PS0052,Not Recommended,[R] bad,Apex Legends
PS0053,Not Recommended,no justno,Apex Legends
PS0054,Not Recommended,BUGGY FRICKIN MESS,Apex Legends
PS0055,Recommended,Product receive [R] free ass game .,Apex Legends
PS0056,Not Recommended,game,Apex Legends
PS0057,Not Recommended,[R] ea app [R] [R] bad launcher,Apex Legends
PS0058,Not Recommended,very hard [R] defend,Apex Legends
PS0059,Recommended,good,Apex Legends
PS0060,Not Recommended,"Product receive [R] free [R] GAME [R] UNPLAYABLE , [R] 41 HOURS [R] [R] GAME [R] [R] [R] TOLERATING [R] SSHOW [R] [R] PLAY [R] [R] CONSOLE FRIENDS , [R] CLUBS MODE [R] [R] BAD [R] BUGGY [R] 'D [R] BETTER [R] PLAYING eFootball no [R] [R] not sarcasm SINCE RELEASE [R] SAME BUG [R] STILL PRESENT DESPITE [R] COMPLAINTS [R] GAZILLION PLAYERSIN 20242025 [R] [R] [R] CLOSE [R] OPEN [R] GAME [R] [R] [R] [R] QUEUE ANOTHER MATCH , ABSOLUTE ROBBERY . [R] [R] [R] thankful [R] sad [R] [R] friend gift [R] [R] game despite tell [R] [R] wait [R] [R] next one cuz [R] predict [R] madness , cuz [R] would [R] [R] mad [R] [R] give [R] money away [R] [R] unplayable piece [R] [R] software [R] take 100 GB [R] [R] storageand [R] not get [R] start [R] [R] gameplay , performance cuz [R] [R] still [R] weak point since FIFA22",Apex Legends
PS0061,Not Recommended,"[R] game crash [R] lot [R] play , [R] [R] very annoying , [R] [R] games [R] play [R] lose [R] [R] [R] stages jump [R] [R] [R] crash [R] [R] middle [R] [R] game .",Apex Legends
PS0062,Not Recommended,"Still [R] bad servers know [R] man . [R] [R] still [R] mud sim , [R] [R] [R] boots [R] [R] [R] patch . [R] not waste [R] time [R] money .",Apex Legends
PS0063,Not Recommended,keep crash [R] nevidia rtx 4060 [R] screen display 240 f [R] 32 ram [R] [R] possible ? ? ? ?,Apex Legends
PS0064,Not Recommended,game,Apex Legends
PS0065,Not Recommended,no,Apex Legends
PS0066,Not Recommended,dd,Apex Legends
PS0067,Not Recommended,,Apex Legends
PS0068,Recommended,"[R] [R] [R] eafc 24 [R] [R] [R] . Tactics [R] games [R] way more realistic . Playstyles [R] update . [R] [R] [R] [R] [R] polished version [R] eafc 24 , [R] [R] [R] fact [R] [R] improve [R] gameplay quite [R] lot .",Apex Legends
PS0069,Recommended,"Very good game , [R] make [R] understand [R] [R] hate [R] [R] need [R] show more love [R] self respect [R] [R] [R] not play [R] , more easy [R] [R] docVERY RECOMMENDED",Apex Legends
PS0070,Recommended,"FC 25 [R] [R] outstanding football game [R] immerse players [R] soccer [R] realistic graphics [R] engage gameplay . [R] offer various modes [R] club management , match strategy , [R] tournament competition . [R] advanced AI make [R] game unique [R] challenging , [R] [R] multiplayer feature let [R] invite friends [R] showcase [R] skills . [R] [R] exciting [R] authentic football experience , FC 25 [R] [R] musttry !",Apex Legends
PS0071,Recommended,good,Apex Legends
PS0072,Recommended,"Very fun game , fun [R] open packs [R] get [R] good playable card .",Apex Legends
PS0073,Recommended,[R] game [R] [R] great game,Apex Legends
PS0074,Recommended,w,Apex Legends
PS0075,Not Recommended,Bir alternatif olmad [R] futbol oynama tutkunuz olduu srece bu tutkuyu smren bir oyun olduu kesin . Ben ite tam bu sebeple alyorum ama tavsiye ediyor muyum hayr,Apex Legends
PS0076,Recommended,ydctydfyitf,Apex Legends
PS0077,Not Recommended,Whenever [R] play [R] game [R] want [R] jump [R] [R] cliff,Apex Legends
PS0078,Recommended,[R] [R] fc 25,Apex Legends
PS0079,Recommended,love [R],Apex Legends
PS0080,Recommended,"[R] [R] [R] [R] [R] bug [R] not , [R] [R] [R] play rivals , [R] controller [R] not work . [R] only work [R] [R] play vs ai .",Apex Legends
PS0081,Recommended,[R] great !,Apex Legends
PS0082,Recommended,very good game,Apex Legends
PS0083,Recommended,rage,Apex Legends
PS0084,Recommended,[R] good,Apex Legends
PS0085,Recommended,ea sport [R] [R] da game,Apex Legends
PS0086,Recommended,,Apex Legends
PS0087,Recommended,[R] game [R] completely fine [R] [R] not bugs [R] lag,Apex Legends
PS0088,Recommended,best fifa yet !,Apex Legends
PS0089,Recommended,"[R] gameplay [R] improve somewhat compare [R] FC 24 , [R] [R] [R] [R] slider simulation setting . However , [R] encounter [R] bugs [R] [R] match [R] also unresponsive movement [R] menu selection . Hopefully , [R] [R] [R] fix quickly .",Apex Legends
PS0090,Recommended,"Great [R] Play [R] , [R] Optimized [R] Game [R] PC [R] !",Apex Legends
PS0091,Recommended,,Apex Legends
PS0092,Recommended,no,Apex Legends
PS0093,Recommended,great game,Apex Legends
PS0094,Not Recommended,Product refund [R] [R] nt want [R] load [R] [R] [R] [R] stick [R] [R] fc 25 logo screen,Apex Legends
PS0095,Recommended,Likes . [R] recommend .,Apex Legends
PS0096,Not Recommended,Game [R] break,Apex Legends
PS0097,Recommended,YA EAAAAAAAAAAAAAAAAAAAAAAAA,Apex Legends
PS0098,Not Recommended,"[R] far [R] bad game [R] [R] time , [R] [R] [R] disgusted [R] play [R] , never [R] [R] life felt [R] [R] [R] fifa , bad game [R] [R] time [R] miles , ea sport [R] really hope 911 happen [R] [R] one [R] [R] headquarters",Apex Legends
PS0099,Recommended,ssss,Apex Legends
PS0100,Recommended,321564897,Apex Legends
PS0101,Recommended,no volta,Apex Legends
PS0102,Recommended,"Dear EA Production Developer Games Team , [R] [R] [R] big fan [R] EA games , [R] [R] would [R] [R] express [R] concern [R] make [R] suggestion . EA Sports FC 25 [R] [R] successors [R] support [R] [R] 8 players [R] local cooperative mode . [R] feature [R] essential [R] [R] [R] play [R] friends [R] family , provide [R] more complete [R] enjoyable experience . [R] would [R] [R] point [R] [R] previous versions , [R] [R] [R] available [R] [R] PlayStation 3 , allow support [R] [R] [R] 7 local players . Currently , Xbox Series SX consoles [R] support [R] [R] 8 controllers , [R] [R] game [R] limit [R] only 4 local players . [R] restriction reduce [R] fun [R] possibilities [R] [R] [R] prefer local multiplayer . Moreover , [R] football game [R] Konami already support [R] functionality . [R] [R] want [R] play [R] [R] friends [R] families , [R] [R] force [R] choose Konami [R] game instead [R] EA [R] due [R] [R] limitation . [R] consider local multiplayer one [R] [R] most important elements [R] bring people together [R] create memorable moments . [R] hope [R] request [R] [R] consider [R] future updates [R] versions [R] [R] game . Thank [R] .",Apex Legends
PS0103,Recommended,[R] [R] not exactly understand [R] fifa [R] fc games [R] always hat [R] . sense [R] [R] [R] little kid [R] [R] always [R] hat [R] [R] [R] [R] [R] [R] great time [R] [R] game [R] [R] [R] fifa [R] fc games [R] [R] play . unfortunately [R] game suffer [R] [R] [R] ea game [R] [R] times [R] [R] [R] monetize [R] [R] [R] pain [R] [R] ass [R] get run . [R] [R] [R] [R] [R] go [R] [R] game properties [R] select run [R] admin [R] [R] go [R] [R] files [R] select run [R] administrator [R] [R] trail file [R] get [R] game run . plus [R] [R] stutter issues [R] [R] [R] [R] use full power [R] [R] nvidia control panel . 35 [R] [R] [R] [R] [R] issues,Apex Legends
PS0104,Recommended,goodgame,Apex Legends
PS0105,Recommended,bestttt ! ! ! ! !,Apex Legends
PS0106,Recommended,good game,Apex Legends
PS0107,Recommended,Top class,Apex Legends
PS0108,Recommended,Great game !,Apex Legends
PS0109,Recommended,"[R] [R] [R] release [R] same game [R] [R] previous year [R] still [R] never fully complete ... pass [R] [R] joke , green time shots mean [R] , [R] [R] pro clubs AI [R] [R] joke ... [R] [R] [R] still [R] [R] idiot [R] spend 60 [R] year [R] [R] unfinished BS",Apex Legends
PS0110,Recommended,awesome,Apex Legends
PS0111,Not Recommended,game,Apex Legends
PS0112,Recommended,Peenar,Apex Legends
PS0113,Recommended,w ana nmout al tofla el banyata ah ya nana ya nana,Apex Legends
PS0114,Recommended,[R] [R] [R] life [R],Apex Legends
PS0115,Recommended,[R] game [R] honestly really good [R] [R] [R] bugs [R] fix [R] would [R] [R] one [R] [R] best games ever .,Apex Legends
PS0116,Recommended,"[R] really think [R] game [R] great . [R] [R] 90 [R] reach [R] end [R] [R] life [R] [R] [R] [R] jerk [R] [R] [R] womens players . [R] [R] assume [R] [R] [R] [R] add [R] , not sure [R] else .",Apex Legends
PS0117,Recommended,"[R] FC 25 deliver exceptional performance [R] stand [R] [R] [R] reliable , premiumquality product . [R] innovative features , impressive durability , [R] userfriendly design make [R] [R] excellent choice [R] [R] seek optimal results . Whether [R] [R] prioritize efficiency , convenience , [R] [R] balance [R] [R] , [R] FC 25 exceed expectations [R] provide great value [R] [R] investment . [R] highly recommend [R] [R] [R] look [R] [R] dependable solution [R] truly deliver",Apex Legends
PS0118,Recommended,"[R] [R] most horrific game [R] play every single year , [R] [R] still play [R] [R] , football innit [R] good [R] [R] [R] garbage [R] [R] , [R] horribly P2W [R] toxic [R] , [R] [R] [R] tolerate [R] [R] [R] [R] [R] community EA strive [R] create .",Apex Legends
PS0119,Recommended,"Hej alle mine venner idag vil jeg snakke lidt om hvordan du [R] penge kan kbe smerte . Det er meget simpelt bare kb dette [R] spil . Tro mig du skal nok mrke smerter efter f sekunder [R] det [R] du kan swipe mors credit kort [R] [R] ha en chance imod alle de sm dorito elskede brn p dette spil . N og god dag til jer ha det sjovt med dette spil ,",Apex Legends
PS0120,Recommended,Product receive [R] free good,Apex Legends
PS0121,Not Recommended,[R] [R] [R] scam,Apex Legends
PS0122,Not Recommended,[R] game [R] [R] [R] one [R] [R] bad iv ' e ever play . [R] [R] not recommend [R] game [R] [R] .,Apex Legends
PS0123,Recommended,[R] go listen [R] Esspreso [R] Sabrina Carpenter ....,Apex Legends
PS0124,Recommended,fun,Apex Legends
PS0125,Recommended,"great game , [R] [R] [R] issues [R] [R] [R] expect . career modes [R] great [R] [R] nice new features [R] [R] game difficulty [R] also [R] lot high . [R] make [R] game more fun [R] long term playing .",Apex Legends
PS0126,Recommended,yes,Apex Legends
PS0127,Not Recommended,"[R] [R] [R] bad game [R] [R] ever play . [R] happen [R] enjoy football games . fc24 suck [R] stil good [R] this.i wonder [R] [R] [R] [R] offer [R] fc26 , well , [R] [R] not buy .",Apex Legends
PS0128,Recommended,[R] make [R] person [R] hate [R] most [R] [R] world [R] control [R] [R] team [R] [R] first match [R] [R] get [R] [R] injury [R] [R] [R] [R] retire1010,Apex Legends
PS0129,Recommended,,Apex Legends
PS0130,Not Recommended,bad AI [R] defend,Apex Legends
PS0131,Not Recommended,EA Sxxxx,Apex Legends
PS0132,Not Recommended,[R] [R] not [R] [R] [R] year [R] [R] beacasue [R] bad gameplay [R] bad menu [R] career mode [R] terrible sound [R] [R] [R] 2 months ago [R] would not buy [R] game [R] also [R] [R] fc24 more,Apex Legends
PS0133,Not Recommended,"Dear EA , Please give [R] Mbappe . Thank [R] . Best Regards , JOHN DOE",Apex Legends
PS0134,Not Recommended,game,Apex Legends
PS0135,Not Recommended,[R] [R] reason fc 25 [R] nt want [R] open [R],Apex Legends
PS0136,Recommended,Product receive [R] free hi,Apex Legends
PS0137,Recommended,amboyyy,Apex Legends
PS0138,Not Recommended,qq,Apex Legends
PS0139,Not Recommended,"Absolutely terrible , [R] nt take [R] hours play [R] account , [R] [R] [R] play pro clubs [R] [R] friends [R] [R] [R] [R] . Even [R] [R] unbearable most times [R] depth [R] reset , [R] [R] gameplay [R] atrocious . [R] not buy [R] one , [R] next one , [R] [R] one . [R] [R] terrible [R] only get worse.30010",Apex Legends
PS0140,Recommended,good [R] not really [R] cause [R] little country,Apex Legends
PS0141,Recommended,.,Apex Legends
PS0142,Recommended,GGWP,Apex Legends
PS0143,Not Recommended,"1 . [R] [R] HACKERS2 . WEAK NETWORK SYSTEM3 . DONT [R] [R] OPPORTUNITIS [R] REPORT HACKERS , [R] LAGGING ISSUES4 . START FC25 , [R] [R] NOT RECOMMEND [R] GAME ANYMORE",Apex Legends
PS0144,Recommended,[R] year game [R] good [R] well,Apex Legends
PS0145,Not Recommended,yuterrg,Apex Legends
PS0146,Not Recommended,[R] [R] not open,Apex Legends
PS0147,Recommended,[R] [R] [R] game .... bag pl [R] el ca un TOTY na vrut sami dea ...,Apex Legends
PS0148,Recommended,pretty fun game .,Apex Legends
PS0149,Not Recommended,"[R] honestly [R] nt know [R] [R] put [R] [R] hours [R] [R] ass game . [R] [R] [R] [R] infuriate [R] [R] deteriorate [R] mental health . [R] [R] [R] [R] play UT [R] [R] nt bother , [R] passing [R] non existent since [R] late patch , go [R] completely opposite directions [R] [R] [R] aim . [R] defending [R] [R] [R] [R] time low [R] [R] FCFIFA game ever , every game [R] play [R] [R] 10 goals , [R] [R] lose plenty [R] games [R] [R] know [R] [R] [R] win . [R] EA scripting [R] [R] [R] [R] time peak [R] [R] current iteration [R] FC . [R] would nt waste [R] money cause [R] [R] stress play [R] . One [R] [R] bad Fifas [R] date .",Apex Legends
PS0150,Recommended,very fun [R] interactive,Apex Legends
PS0151,Recommended,monkey,Apex Legends
PS0152,Recommended,[R] game kind [R] funny,Apex Legends
PS0153,Not Recommended,ass game,Apex Legends
PS0154,Recommended,god,Apex Legends
PS0155,Not Recommended,"[R] gameplay [R] great [R] even [R] [R] [R] bugs [R] funny [R] [R] [R] [R] casual play . [R] [R] pc port ride [R] crashes , control issues [R] [R] 70 price tag ....... [R] [R] [R] NOT [R] [R] RECONNECT OPTION [R] ONLINE PLAY",Apex Legends
PS0156,Recommended,Product receive [R] free amazing,Apex Legends
PS0157,Not Recommended,[R] bad,Apex Legends
PS0158,Not Recommended,"[R] bad menu [R] performance [R] [R] game [R] [R] ever see . Every time [R] enter [R] menu , [R] freeze [R] [R] [R] [R] [R] game [R] crack . [R] freeze [R] [R] [R] [R] [R] [R] system , [R] [R] [R] problem [R] [R] game [R] [R] [R] [R] [R] close [R] game [R] restart [R] , [R] [R] really unfortunate .",Apex Legends
PS0159,Not Recommended,[R] un playable [R] [R] less [R] 20 hours [R] [R] amount [R] bugs [R] find [R] [R] crazy [R] [R] EA release [R] same game every year [R] [R] come [R] bugs [R] gameplay [R] progress [R] get reset [R] delete [R] [R] [R] companion app [R] break,Apex Legends
PS0160,Not Recommended,Buns,Apex Legends
PS0161,Recommended,beautiful game,Apex Legends
PS0162,Not Recommended,"without mods , [R] [R] [R] bad game [R] [R] time.with mods , [R] [R] [R] second bad game [R] [R] time .",Apex Legends
PS0163,Not Recommended,EA [R] take [R] phrase `` bare minimum `` [R] heart [R] [R] FC franchise [R] recent years . [R] game [R] always [R] [R] level [R] fun [R] [R] [R] [R] [R] football game [R] unless [R] get [R] game [R] sale [R] not bother get [R] .,Apex Legends
PS0164,Not Recommended,game,Apex Legends
PS0165,Not Recommended,......,Apex Legends
PS0166,Recommended,Well [R] FIFA,Apex Legends
PS0167,Not Recommended,no,Apex Legends
PS0168,Recommended,nice game,Apex Legends
PS0169,Recommended,very fun game [R] [R] [R] [R] scripting,Apex Legends
PS0170,Recommended,script,Apex Legends
PS0171,Recommended,kuarejma,Apex Legends
PS0172,Not Recommended,"Random crash cause losses [R] ultimate team , general poor performance [R] stuttering although specs wise [R] [R] not [R] [R] issue . play [R] PC [R] [R] absolute nightmare . [R] [R] [R] poorly optimize game .",Apex Legends
PS0173,Recommended,goodf,Apex Legends
PS0174,Recommended,no toty,Apex Legends
PS0175,Recommended,Gameplay [R] nt [R] good [R] previous years [R] still [R] solid game one [R] [R] best career modes oat,Apex Legends
PS0176,Recommended,really good,Apex Legends
PS0177,Recommended,play ball hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmyes ?,Apex Legends
PS0178,Recommended,Product receive [R] free [R] [R] good,Apex Legends
PS0179,Recommended,good game [R] [R] [R] practically no skill base matchmaking [R] drafts [R] rush mode [R] frustrate [R] [R] [R],Apex Legends
PS0180,Recommended,Nice [R] play FC 25,Apex Legends
PS0181,Recommended,brokeee [R] fun,Apex Legends
